ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
mw40.10,3,74.5601981212,73.9329674135,73.3117795045,72.8790977165,72.3899704823,71.8195481096,71.1562581759,70.3273618726,69.2620391864,67.8473907744,65.8691243921,63.764343532,60.2584454979,56.654508146,56.6027037587
AM42.1,4,112.1287636007,110.9514581202,109.5930482024,108.0086868173,106.6032966933,104.9168324755,102.8556300223,101.0818471328,99.1505828374,96.6099029891,96.5601142274,96.485431085,96.4846172259,96.4829895079,96.4829895079
AM42.2,4,81.3506759089,81.3500678126,81.3493763679,81.3492484653,81.349189231,81.3491385742,81.3490803704,81.3490262552,81.3490022555,81.3489831886,81.3489702005,81.348952384,81.3489459843,81.348933922,81.3489293373
AM42.3,4,84.9657698272,84.8091492324,84.6984415831,84.5717449267,84.4324089757,84.2709381953,84.0762476227,83.8364165358,83.5397894369,83.156857945,83.1525714137,83.1507062538,83.1492099272,83.1492099272,83.1492099272
AM42.4,4,61.8422166325,61.8344335452,61.8256546061,61.8154514638,61.8035942506,61.7985762393,61.7928880146,61.786471044,61.7820743404,61.7782799491,61.7739464521,61.7705724096,61.7649497324,61.7631870272,61.7604524106
AM42.5,4,154.7983400701,153.7717133818,152.5871441261,151.2058694233,149.5734538656,147.7828080056,145.598254814,143.1277393023,140.5482191337,138.6159383539,136.2647120075,132.771887646,127.9596795001,124.1696992576,117.0787846886
AM42.6,4,77.9509016818,77.9449142412,77.9381490601,77.9303022525,77.9211586454,77.9175470121,77.9132128015,77.9081051638,77.9052250654,77.9020820629,77.8995848839,77.8968885382,77.8924661054,77.8911295271,77.8891337907
AM42.7,4,129.8502669541,129.7224558125,129.5750344244,129.4030538201,129.1998094932,128.9559593512,128.6579278708,128.2853888109,127.8064106244,127.1677732873,126.273691048,124.9325717039,122.6973781839,118.2270052651,108.9142413867
AM42.8,4,204.2845749556,202.6649855632,200.8147195865,198.6605956073,196.1210680299,193.0783901154,189.3626960156,184.7194554819,178.7534657449,170.7988321854,159.7114972994,143.0826122034,115.3678037101,114.5912928329,114.5840283765
AM42.9,4,94.2943672423,93.6367061371,92.8779402675,91.9927216931,90.946561243,89.6911879037,88.157151801,86.302368609,83.9181016379,80.7398670421,77.4465147566,77.4261143074,77.3984584598,77.398194703,77.3976723326
AM42.10,4,58.5059916898,58.5052641086,58.5044366606,58.5042325628,58.5041282746,58.504032797,58.5039290436,58.5038813144,58.5038587788,58.5038370004,58.5038154707,58.5037941541,58.5037765414,58.50376081,58.503750901
AM42.11,4,40.800358833,40.5802246752,40.3318159588,40.0454246698,39.7083838181,39.3053123961,38.813718489,38.1995347407,37.4100231029,36.3582761634,34.8860815306,32.6783476807,29.0004384584,25.8889175061,25.1333819165
AM42.12,4,83.5711932075,83.5654323263,83.5589319106,83.5514475673,83.5426332858,83.5389524536,83.5346147704,83.5295666944,83.5265153582,83.5237385387,83.5207880961,83.518271407,83.5142644597,83.5131180801,83.5118805374
mw42.1,2,75.2586816776,74.7265345329,74.4989984693,74.2346580523,73.9223737729,73.5476951673,73.0899420535,72.5186170541,71.784554668,70.8058266794,69.4361137259,67.3830064715,67.3829608263,67.3829408431,67.3829283986
mw42.2,4,52.6896463423,52.6802437194,52.6696433246,52.6573151247,52.6433009972,52.6356295196,52.6287055274,52.6206479893,52.6157475166,52.6115920082,52.6066062626,52.6025425098,52.5966757522,52.5952884021,52.5947499357
mw42.3,4,95.8709220857,95.7690622623,95.651558144,95.5145047455,95.3525443073,95.158192051,94.9207263935,94.6239248936,94.2519662735,93.7576166069,93.0659326979,92.0284232849,90.3016359119,90.3015391872,90.3013938877
mw42.4,4,72.9741714593,72.9515895085,72.9255845501,72.8953248669,72.8596402002,72.8175329723,72.7664443139,72.7030158256,72.6215105535,72.5128390248,72.3607210513,72.1325523986,72.035003409,71.9249876162,71.657315476
mw42.5,4,16.4816810986,14.1642941488,11.4904527881,8.3709787184,4.6843390505,0.2611134949,0.1786557683,0.1605009553,0.1390715771,0.110980673,0.0896575107,0.0755066299,0.0625484238,0.0488268025,0.0336197858
mw42.6,4,170.8941088613,169.1082052887,167.0697111445,164.6922752407,161.8825782634,159.4040201838,157.3359875215,154.9376055087,151.9322904284,147.9308214331,144.5627167172,142.1867718405,138.8109652536,132.1261703497,117.0006109433
mw42.7,4,212.5829699404,211.8224818474,210.9639215559,209.966838515,208.7947440332,207.3932171333,205.68343078,203.5475706947,200.8054268295,197.1492571432,192.0804032055,184.4792865107,171.8107586861,171.2883449872,171.2834967337
mw42.8,4,162.8231603944,160.7538996529,158.366292104,155.5807509182,152.2887482077,149.8913457025,146.9649638081,144.9844361161,143.2310780874,141.275692265,139.2764425394,136.7232227933,132.5133620518,129.5510768624,127.8838339717
mw42.9,4,52.6945373692,52.6854120203,52.6750518205,52.6631059874,52.6490369488,52.6432401451,52.6365074543,52.6283016853,52.6232067837,52.618777085,52.6137864798,52.6097618292,52.6032976076,52.6015639402,52.5992452977
mw42.10,4,59.2392835967,59.0442460563,58.8225226308,58.5638565278,58.2595780508,57.8953142582,57.450111003,56.8938316155,56.1787191025,55.2254058332,53.8918015753,51.8924659856,50.4502351823,50.050804254,49.5887572412
mw42.11,4,64.327444157,63.8950100707,63.3961176753,62.8140982619,62.1262644017,61.3008787259,60.2921604948,59.0314628168,57.4105776069,56.7133490344,55.7373995929,54.2739390841,51.8827561581,47.1041564857,32.7685212126
mw42.12,4,77.3134005985,77.2996448991,77.284286126,77.266459476,77.2454105247,77.2201594848,77.1893725167,77.1509043617,77.1014457907,77.0355024654,76.943182601,76.8047221338,76.5739606332,76.112454206,74.7279762422
AM44.1,4,108.5367155078,107.4240985071,106.1443482382,104.6520288026,102.8884159125,100.7721772303,98.1862716252,96.1358199075,93.5288383454,90.4489059535,90.3966153817,90.3181795239,90.3174267559,90.3159212199,90.3159212199
AM44.2,4,82.3000624394,82.2977155247,82.2950110022,82.2918705974,82.2881669133,82.2837228765,82.2782917458,82.2715096893,82.2627994648,82.251208822,82.234982147,82.2330258898,82.2317428218,82.2292061784,82.2290168336
AM44.3,4,94.5959530872,94.3120655514,93.9885593678,93.6127721887,93.1708196201,92.6477094517,92.0156220857,91.5133310205,90.869906532,90.0125920863,88.8133937076,87.0145961394,84.0166001924,84.0147445308,84.0142234096
AM44.4,4,75.391742083,75.2203213693,75.2082797175,75.2003034415,75.1913414127,75.1891162345,75.187836177,75.1864887731,75.1851405992,75.1836890987,75.1817292373,75.1790073227,75.1749948372,75.1748860523,75.1746160561
AM44.5,4,152.6391377993,151.0221125998,149.5713744198,148.2247782546,146.633346423,144.7244391407,142.3913302402,139.9613871716,137.4458250221,135.2945367721,132.3097720695,128.313504784,123.3416306808,119.4083648363,112.0340566423
AM44.6,4,91.5457041062,91.5407077497,91.5349789749,91.5283326577,91.5206251048,91.5174807606,91.513954811,91.5098245979,91.5073390342,91.5045638766,91.5024951952,91.5001601064,91.4962873145,91.4952353458,91.4929919575
AM44.7,4,129.6899467723,129.5072023925,129.2963472413,129.0503497333,128.7596265839,128.4107609573,127.9843729321,127.4513979967,126.7661473729,125.8617704312,124.5963775135,122.6983145438,119.5363873075,113.2126478279,103.4905391527
AM44.8,4,207.9723799242,206.257424023,204.296958186,202.014101172,199.3221621147,196.0967655755,192.1577030546,187.2351434548,180.909981072,172.4764462084,160.717215986,143.080464106,113.6858776393,113.2313627994,111.8823889535
AM44.9,2,91.6242079082,90.4914024822,89.1843211041,87.6594002232,85.8572299728,83.6946271933,81.0517652938,78.2683254376,74.6896744734,70.349734453,64.2740464878,62.9147052165,60.6519320083,60.6515945869,60.6509280795
AM44.10,4,59.8193132007,59.8160808873,59.812358825,59.8080334036,59.8029279772,59.7968031939,59.789324512,59.7799767201,59.7679656948,59.7519795238,59.7296169325,59.7269963289,59.7251697694,59.7219174278,59.7216580909
AM44.11,4,27.5624812264,27.5606464172,27.5598256118,27.558887548,27.5579693742,27.5572876535,27.5564592805,27.5556429313,27.5546406633,27.5535361513,27.5520187193,27.5501418351,27.549488227,27.5482440204,27.5449524215
AM44.12,2,90.102873533,89.6561508634,89.1427556073,88.5443095129,87.8371216164,86.9894781772,85.9536849227,84.6594326671,83.7152454464,82.4630072783,80.7099152938,79.3515602238,77.0877535959,77.082002295,77.0791296147
mw44.1,4,58.1971864694,58.192533056,58.1887344933,58.1867490031,58.1853115038,58.1838032498,58.1830335635,58.182196286,58.1815461277,58.180895166,58.1799854186,58.1786303393,58.1765984597,58.1725366373,58.1682011764
mw44.2,4,71.276773117,71.2698805043,71.2621401327,71.2531628575,71.2427741124,71.2378957293,71.2327391167,71.2267280594,71.2230326341,71.2198965199,71.2161649147,71.2132064328,71.2086778738,71.2074182377,71.2067760961
